run_group,model,split,accuracy,precision_macro,recall_macro,f1_macro,balanced_accuracy,log_loss,roc_auc_macro_ovr
single_models,nn_small,train,0.874,0.8784185371860279,0.874,0.8753029525016692,0.874,0.3037300091015775,0.9687549999999999
single_models,nn_small,cv,0.8525,0.8618158238729365,0.8524482848913327,0.854715643111092,0.8524482848913327,0.32074663650534346,0.9653073303192018
single_models,nn_small,test,0.85,0.8534246502017964,0.85,0.851221442008717,0.85,0.3045460264112117,0.9688
single_models,nn_medium,train,0.879,0.8836339215806847,0.879,0.8803108732074008,0.879,0.2861264591473775,0.9721468333333334
single_models,nn_medium,cv,0.86,0.8688178863530841,0.8599857853589197,0.8621382654812887,0.8599857853589197,0.31253220187135583,0.9668373726535019
single_models,nn_medium,test,0.87,0.8745633438493431,0.87,0.8712510251950877,0.87,0.31575138028554256,0.96555
single_models,nn_deep,train,0.9086666666666666,0.9106015838232396,0.9086666666666666,0.909205908733453,0.9086666666666666,0.23173818935306947,0.9818221666666668
single_models,nn_deep,cv,0.8625,0.8671908974777125,0.862435940597763,0.8638577367954369,0.862435940597763,0.32246011523083196,0.9665083105774386
single_models,nn_deep,test,0.86,0.8655640655640656,0.86,0.8615082392766625,0.86,0.2997621202877722,0.9687833333333332
single_models,knn,train,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,1.0
single_models,knn,cv,0.775,0.7854269723177549,0.7750346014289455,0.7778950192382365,0.7750346014289455,0.7455903250206651,0.9166086823913157
single_models,knn,test,0.7866666666666666,0.7925654056088839,0.7866666666666666,0.7885822510822512,0.7866666666666666,0.8252149514308469,0.9178333333333333
single_models,kmeanspp,train,0.5986666666666667,0.5781980476276426,0.5986666666666666,0.5607248681427572,0.5986666666666666,0.8222058056516751,0.7792818333333335
single_models,kmeanspp,cv,0.5675,0.5389736980820393,0.5672389930049003,0.5260972143161452,0.5672389930049003,0.8518325045955577,0.764559446999185
single_models,kmeanspp,test,0.61,0.6061957466265668,0.61,0.5727820324969505,0.61,0.8311485344560535,0.7742000000000001
single_models,kmedoids,train,0.626,0.6131296626479057,0.626,0.6039597064174163,0.626,0.8344255894415871,0.7772771666666666
single_models,kmedoids,cv,0.605,0.5868639433461843,0.6045524258407212,0.5798305254102717,0.6045524258407212,0.8550564409086577,0.7707090550457983
single_models,kmedoids,test,0.6066666666666667,0.5918898809523809,0.6066666666666667,0.5868779653536357,0.6066666666666667,0.8414267543797538,0.7797666666666667
ensemble,bootstrap_ensemble,train,0.9186666666666666,0.9208484644954326,0.9186666666666667,0.9192811152038315,0.9186666666666667,0.19558946528479768,0.9886751666666665
ensemble,bootstrap_ensemble,cv,0.8575,0.8646014979834837,0.8574982231698649,0.8593811970982642,0.8574982231698649,0.31624271282347943,0.9672002691058802
ensemble,bootstrap_ensemble,test,0.8666666666666667,0.8718910489096824,0.8666666666666667,0.8681156806156807,0.8666666666666667,0.2799757321255966,0.9730499999999999
