run_group,model,split,accuracy,precision_macro,recall_macro,f1_macro,balanced_accuracy,log_loss,roc_auc_macro_ovr
ensemble,bootstrap_ensemble,cv,0.7714285714285715,0.7865689865689866,0.7651515151515151,0.7604938271604939,0.7651515151515151,0.7986356191462886,0.8773056653491436
ensemble,bootstrap_ensemble,test,0.7,0.7269841269841271,0.6997549019607844,0.7062627143272304,0.6997549019607844,0.8007074497217814,0.8709707367795603
ensemble,bootstrap_ensemble,train,0.98,0.9800241218151666,0.9800995024875622,0.9800246885871395,0.9800995024875622,0.578898150196267,0.9990645428587298
single_models,kmeanspp,cv,0.4857142857142857,0.4537037037037037,0.4772727272727273,0.45112781954887216,0.4772727272727273,0.9989383443957747,0.6697683355292051
single_models,kmeanspp,test,0.42,0.4023199023199023,0.41544117647058826,0.40602027534876894,0.41544117647058826,1.0586513386893492,0.6141562685680332
single_models,kmeanspp,train,0.515,0.5058574879227052,0.5160560832202623,0.501652951058608,0.5160560832202623,0.941967565754235,0.7074918186465712
single_models,kmedoids,cv,0.4857142857142857,0.49074074074074076,0.48484848484848486,0.48314487444922233,0.48484848484848486,1.1103067993699596,0.6255764163372859
single_models,kmedoids,test,0.46,0.4777777777777778,0.45955882352941174,0.4619777412880861,0.45955882352941174,1.0450154214220437,0.6413398692810458
single_models,kmedoids,train,0.485,0.4899806466302368,0.48507462686567165,0.48664567533405556,0.48507462686567165,0.9978299844164522,0.6705192991524491
single_models,knn,cv,0.6,0.6034858387799565,0.5934343434343434,0.5854406130268199,0.5934343434343434,0.8200120981087888,0.7737154150197628
single_models,knn,test,0.6,0.660613810741688,0.6004901960784313,0.608848667672197,0.6004901960784313,1.4505206104484745,0.8053884432560903
single_models,knn,train,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,1.0
single_models,nn_deep,cv,0.6285714285714286,0.7291666666666666,0.6186868686868686,0.5952380952380952,0.6186868686868686,0.854281269459087,0.8409639877031182
single_models,nn_deep,test,0.62,0.6096681096681097,0.6127450980392156,0.5837782862954488,0.6127450980392156,0.8816424754879252,0.7830139631610219
single_models,nn_deep,train,0.7,0.7221522665633474,0.7011910146238504,0.6612720612720614,0.7011910146238504,0.7850572407868893,0.8906436149169851
single_models,nn_medium,cv,0.45714285714285713,0.5083220872694557,0.4570707070707071,0.42132616487455193,0.4570707070707071,1.0565040987828946,0.660518225735617
single_models,nn_medium,test,0.4,0.5857142857142857,0.40196078431372556,0.3664717348927875,0.40196078431372556,1.0269009163733591,0.6512737670825907
single_models,nn_medium,train,0.48,0.4673168505183596,0.48183325795266096,0.44701804898697967,0.48183325795266096,1.0137975319939359,0.6955023243318609
single_models,nn_small,cv,0.45714285714285713,0.519927536231884,0.4696969696969697,0.421078431372549,0.4696969696969697,1.106442702145443,0.591897233201581
single_models,nn_small,test,0.44,0.46200716845878137,0.44730392156862747,0.4123173910407953,0.44730392156862747,1.053426897570689,0.6426767676767677
single_models,nn_small,train,0.375,0.39601696947892306,0.3750188451680989,0.36524503105891015,0.3750188451680989,1.123235940548436,0.5524527623899188
