run_group,model,split,accuracy,precision_macro,recall_macro,f1_macro,balanced_accuracy,log_loss,roc_auc_macro_ovr
single_models,nn_small,train,0.8643333333333333,0.86969154241013,0.8643333333333333,0.8658995380078442,0.8643333333333333,0.341933751879187,0.9622324999999999
single_models,nn_small,cv,0.8525,0.8656774672566039,0.8525605057419668,0.8552467336966156,0.8525605057419668,0.34038818339327065,0.9601584107285935
single_models,nn_small,test,0.83,0.8336621891426063,0.8300000000000001,0.8313555246272717,0.8300000000000001,0.3510564989968561,0.9584166666666668
single_models,nn_medium,train,0.868,0.8731032378617671,0.868,0.8694811895746665,0.868,0.3343332516852637,0.9639353333333333
single_models,nn_medium,cv,0.83,0.8406647116324536,0.8300228182396289,0.8327431058891347,0.8300228182396289,0.3601053044226983,0.956202205440932
single_models,nn_medium,test,0.8733333333333333,0.8748691784406071,0.8733333333333334,0.8739354327589622,0.8733333333333334,0.33048557279315494,0.9645333333333334
single_models,nn_deep,train,0.8993333333333333,0.9009760786440782,0.8993333333333333,0.89989266577139,0.8993333333333333,0.2535994006420201,0.9784035000000001
single_models,nn_deep,cv,0.8575,0.8605148858880202,0.8574234092694422,0.8585024214237698,0.8574234092694422,0.33577598948144965,0.9635421285619437
single_models,nn_deep,test,0.87,0.8755297636346023,0.87,0.8715069506426444,0.87,0.29041069183096463,0.9721833333333333
single_models,knn,train,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,1.0
single_models,knn,cv,0.77,0.7768183135323095,0.7700033666255189,0.772002583953379,0.7700033666255189,0.9166216937718679,0.9111480557282299
single_models,knn,test,0.7933333333333333,0.7994407249065634,0.7933333333333333,0.7953342953342953,0.7933333333333333,1.27354483008137,0.911575
single_models,kmeanspp,train,0.5923333333333334,0.6681223230504186,0.5923333333333334,0.5891216353752534,0.5923333333333334,0.8308896257010416,0.7777293333333333
single_models,kmeanspp,cv,0.585,0.6675593814761677,0.5856245090337785,0.5766410462328263,0.5856245090337785,0.8758475938176389,0.7576761478574854
single_models,kmeanspp,test,0.6033333333333334,0.6755164518146423,0.6033333333333334,0.5948963982756222,0.6033333333333334,0.8179434289291966,0.7840833333333332
single_models,kmedoids,train,0.6296666666666667,0.6276687167921179,0.6296666666666667,0.6007769705293333,0.6296666666666667,0.8185356308579542,0.7804359999999999
single_models,kmedoids,cv,0.6325,0.6239338365373275,0.632214865522014,0.5992769704109909,0.632214865522014,0.8154688692052234,0.7712280414547465
single_models,kmedoids,test,0.6166666666666667,0.6301892551892553,0.6166666666666667,0.5990265275504637,0.6166666666666667,0.847417971335983,0.7797166666666667
ensemble,bootstrap_ensemble,train,0.9326666666666666,0.9352958086955704,0.9326666666666666,0.933258120447293,0.9326666666666666,0.30780233257438977,0.9934038333333333
ensemble,bootstrap_ensemble,cv,0.8475,0.8539268145825524,0.8475105674634347,0.8492866423442441,0.8475105674634347,0.4209534871579248,0.9594325827986031
ensemble,bootstrap_ensemble,test,0.8566666666666667,0.8612032166126785,0.8566666666666666,0.858025762579894,0.8566666666666666,0.40518888237456785,0.9648833333333334
